2023-05-22 22:05:782 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:873 INFO  HomePage :21 - Click on [[ChromeDriver: chrome on WINDOWS (9174cff09e0578ccb072bee869520c76)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2023-05-22 22:05:127 INFO  BankManagerLoginPage :35 - Click on [[ChromeDriver: chrome on WINDOWS (9174cff09e0578ccb072bee869520c76)] -> xpath: //button[normalize-space()='Open Account']]
2023-05-22 22:05:674 INFO  OpenAccountPage :27 - Select [[ChromeDriver: chrome on WINDOWS (9174cff09e0578ccb072bee869520c76)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:839 INFO  OpenAccountPage :31 - Select [[ChromeDriver: chrome on WINDOWS (9174cff09e0578ccb072bee869520c76)] -> xpath: //select[@id='currency']]
2023-05-22 22:05:961 INFO  OpenAccountPage :35 - Click on [[ChromeDriver: chrome on WINDOWS (9174cff09e0578ccb072bee869520c76)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:199 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:416 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (7a04814b7600271e7f8861937cb384ea)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:760 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (7a04814b7600271e7f8861937cb384ea)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:35 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (7a04814b7600271e7f8861937cb384ea)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:42 INFO  CustomersPage :35 - Logout button displayed
2023-05-22 22:05:446 INFO  CustomersPage :45 - Click on [[ChromeDriver: chrome on WINDOWS (7a04814b7600271e7f8861937cb384ea)] -> xpath: //button[@class='btn logout']]
2023-05-22 22:05:481 INFO  CustomerLoginPage :34 - Get text [[ChromeDriver: chrome on WINDOWS (7a04814b7600271e7f8861937cb384ea)] -> xpath: //label[normalize-space()='Your Name :']]
2023-05-22 22:05:655 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:75 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:676 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:805 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:108 INFO  CustomersPage :28 - Click on [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //button[normalize-space()='Deposit']]
2023-05-22 22:05:494 INFO  AccountPage :30 - Send text [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //input[@placeholder='amount']]
2023-05-22 22:05:601 INFO  AccountPage :38 - Click on [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:634 INFO  AccountPage :33 - Get text [[ChromeDriver: chrome on WINDOWS (d75be724ead127549eb1dfe7f8b1a035)] -> xpath: //span[@class='error ng-binding']]
2023-05-22 22:05:836 INFO  ManageBrowser :28 - Opening browser Chrome 
2023-05-22 22:05:904 INFO  BankManagerLoginPage :39 - Click on [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //button[normalize-space()='Customer Login']]
2023-05-22 22:05:301 INFO  CustomerLoginPage :27 - Select [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //select[@id='userSelect']]
2023-05-22 22:05:409 INFO  CustomerLoginPage :31 - Click on [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:719 INFO  CustomersPage :32 - Click on [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //button[normalize-space()='Withdrawl']]
2023-05-22 22:05:42 INFO  AccountPage :30 - Send text [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //input[@placeholder='amount']]
2023-05-22 22:05:149 INFO  AccountPage :38 - Click on [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //button[@type='submit']]
2023-05-22 22:05:193 INFO  AccountPage :33 - Get text [[ChromeDriver: chrome on WINDOWS (b559148ab573d4506f8a16f98589371d)] -> xpath: //span[@class='error ng-binding']]
